cut,n_below,n_above,tau_below,tau_above,tau_gap,ilearn_prof_below,ilearn_prof_above,ilearn_pctile_below,ilearn_pctile_above,YEAR,GRADE,YEAR_STRATUM
5.2,5513,726,0.4958,0.2048,-0.291,0.0833,0.5537,44.8397,87.9728,2018,4,istep_contrast
5.3,5788,451,0.5133,0.2385,-0.2747,0.1016,0.6053,46.7788,89.4391,2018,4,istep_contrast
5.4,5788,451,0.5133,0.2385,-0.2747,0.1016,0.6053,46.7788,89.4391,2018,4,istep_contrast
5.5,5863,376,0.5171,0.236,-0.2811,0.1057,0.641,46.7788,90.5288,2018,4,istep_contrast
2,194,5448,0.0776,0.4838,0.4062,0,0.1327,7.5846,51.9405,2019,5,ilearn_2019
2.1,224,5418,0.0715,0.4801,0.4085,0,0.1334,7.8239,51.9405,2019,5,ilearn_2019
2.2,238,5404,0.0887,0.4788,0.3902,0,0.1338,7.9302,51.9405,2019,5,ilearn_2019
2.3,257,5385,0.0712,0.4767,0.4056,0,0.1343,7.8239,51.9405,2019,5,ilearn_2019
2.4,278,5364,0.0766,0.4739,0.3972,0,0.1348,8.2935,52.5961,2019,5,ilearn_2019
2.5,311,5331,0.1166,0.4701,0.3534,0,0.1356,8.5593,52.5961,2019,5,ilearn_2019
2.6,331,5311,0.1077,0.4676,0.3599,0,0.1361,8.8251,52.5961,2019,5,ilearn_2019
2.7,362,5280,0.1141,0.464,0.3499,0,0.1369,8.8251,53.243,2019,5,ilearn_2019
2.8,400,5242,0.1001,0.459,0.3589,0,0.1379,8.8251,53.243,2019,5,ilearn_2019
2.9,434,5208,0.1375,0.4555,0.318,0,0.1388,9.1441,53.8278,2019,5,ilearn_2019
3,466,5176,0.141,0.4518,0.3108,0,0.1397,9.4365,53.8278,2019,5,ilearn_2019
3.1,522,5120,0.1593,0.4457,0.2864,0,0.1412,9.9504,54.3505,2019,5,ilearn_2019
3.2,576,5066,0.1861,0.4414,0.2553,0.0017,0.1425,10.4997,54.8733,2019,5,ilearn_2019
3.3,640,5002,0.2019,0.4357,0.2338,0.0016,0.1443,10.7744,55.4315,2019,5,ilearn_2019
3.4,816,4826,0.2243,0.4197,0.1953,0.0025,0.1494,11.8908,57.0087,2019,5,ilearn_2019
3.5,816,4826,0.2243,0.4197,0.1953,0.0025,0.1494,11.8908,57.0087,2019,5,ilearn_2019
3.6,925,4717,0.2697,0.4121,0.1424,0.0022,0.1529,13.1756,57.496,2019,5,ilearn_2019
3.7,1085,4557,0.2971,0.4017,0.1046,0.0028,0.158,14.8148,58.7365,2019,5,ilearn_2019
3.8,1267,4375,0.308,0.3891,0.0811,0.0039,0.1641,16.5515,59.9947,2019,5,ilearn_2019
3.9,1748,3894,0.3268,0.3574,0.0306,0.0069,0.1826,20.459,63.6275,2019,5,ilearn_2019
4,1748,3894,0.3268,0.3574,0.0306,0.0069,0.1826,20.459,63.6275,2019,5,ilearn_2019
4.1,2085,3557,0.3489,0.343,-0.0059,0.011,0.1968,22.9931,65.6123,2019,5,ilearn_2019
4.2,2334,3308,0.3572,0.3255,-0.0316,0.012,0.2101,25.2968,67.5793,2019,5,ilearn_2019
